Código interno;Nome;Preço regular;ativo;estoque;Código de barras;Promocao;Data termino promocao
11240;Acai Saint Luiger 2Lt Guarana;12,52815239;False;668;;;
11416;Acai Saint Luiger 2Lt Morango;1,584748631;False;13;7,89676E+12;;
11241;Acai Saint Luiger Guarana 1Kg;1,697139751;False;78;;;
77;Acelga Un;45,30780327;False;190;7,89896E+12;;
8;Acem Bovino Kg;1,503413896;False;735;;;
12656;Acendedor Automatico Catuai;74,99262454;False;54;7,8997E+12;;
15273;Acendedor Fiat Lux Churrasco com 5 unidades;30,23458838;False;482;7,89601E+12;;
524;Acerola Kg;18,18345109;False;844;;;
9306;Acetona Beira Alta 450Ml;0;False;617;;;
9309;Acetona Popy Max Blue 80Ml;67,56417867;False;718;7,8969E+12;;
9313;Acetona Zulu 90Ml Seduction;11,12874791;False;362;;;
6987;Achoc Da Barra 400G;30,67800226;False;311;;;
6990;Achoc Em Po Muky 400G Morango;1,853078657;False;948;;;
6629;Achoc Italac 400G Morango;51,45185783;False;73;;;
11541;Achoc Leco 1L Chocolate Tp;4,823608756;False;436;;;
6993;Achoc Nescau 2.0 200G;13,26235154;False;69;;;
6992;Achoc Nescau 2.0 400G;42,21604235;False;142;;;
6994;Achoc Nescau 2.0 800G;41,02250861;False;201;;;
13368;Achoc Nescau Light 400G;3,456571467;False;776;;;
13059;Achoc Nescau Trad 400G;49,07265556;False;345;7,891E+12;;
6997;Achoc Nesquik 380G;22,2447883;False;623;;;
6998;Achoc Ovomaltine 190G Flocos Croc;49,69482435;False;746;;;
13042;Achoc. Po Nescau 2.0 Actgen-E Sache 98G;39,00758346;False;940;7,891E+12;;
7003;Achoc Po Palate 400G Sc;13,37574829;False;835;;;
12326;Achoc Po Sache 200G Cesta Basica;30,42610442;False;590;;;
7004;Achoc Toddy 200G;8,179294973;False;496;;;
7010;Achoc Toddy 800G;69,51210152;False;3;;;
13865;Achocolatado Em Po Italac 200G - Un;81,86123552;False;489;7,89808E+12;;
10706;Achocolatado Italac 400g Sachê;42,80157504;False;733;7,89808E+12;;
14308;Achocolatado em Pó Garoto Pacote 600g;1,124223004;False;295;7,89101E+12;;
15766;Achocolatado em Pó Italac 400g;5,671756727;False;196;7,89808E+12;;
14282;Achocolatado em Pó Linea Pote 210g;1,945999662;False;676;7,896E+12;;
14097;Achocolatado em Pó Muky Pacote 400g;45,15248248;False;513;7,89607E+12;;
15139;Achocolatado em Pó Original Toddy Caixa 2kg + Econômica;37,7168262;False;252;7,89432E+12;;
7009;Achocolatado em Pó Original Toddy Pote 400g;2,721138802;False;173;7,89432E+12;;
13236;Achocolatado em pó ITALAC 700g;9,289927357;False;300;7,89808E+12;;
13479;Acido Tubes Fini 17G Morango/ Laranja;77,21076208;False;606;7,89859E+12;;
14923;Acido Tubes Fini 17G Twister  Frut Silvestre;6,458949789;False;956;7,89859E+12;;
11633;Activia Cafe Da Manha 170G Maca/Mamao/Sl;38,77999009;False;41;;;
11634;Activia Cafe Da Manha 170G Mora/Maca/Ban;13,50359135;False;251;;;
5000;Acucar Alto Alegre 1Kg;46,51319061;False;341;;;
11157;Açúcar Cristal ALTO ALEGRE Pacote 2Kg;7,598480447;False;643;7,89651E+12;;
11158;Açúcar Cristal Alto Alegre 5kg;76,5815211;False;610;7,89651E+12;;
5002;Acucar Dabarra 1Kg Ref;2,096368679;False;285;;;
14234;Açúcar Demerara ALTO ALEGRE Pacote 1Kg;46,65224002;False;918;7,89651E+12;;
15485;Açúcar Demerara UNIAO 1Kg;26,32457566;False;275;7,89191E+12;;
10415;Acucar Qualita 1Kg Refinado;18,92649499;False;95;7,895E+12;;
5001;Acucar Refinado 1Kg Cesta Basica;13,50083151;False;737;;;
15167;Açúcar Refinado Caravelas Pacote 1kg;62,58776701;False;576;7,89689E+12;;
5007;Açúcar Refinado União 1Kg;38,48362985;False;773;7,89191E+12;;
5018;Acucar Solito 1Kg Cristal;2,3294652;False;925;;;
5006;Acucar Solito 1Kg Extra Fino;5,417451601;False;53;;;
5019;Acucar Solito 2Kg Cristal;15,68689921;False;131;;;
5020;Acucar Solito 5Kg Cristal;19,83681379;False;0;;;
5021;Acucar Uniao 1Kg Cristal;23,60262148;False;477;;;
5025;Acucar Uniao 1Kg Docucar;9,094779077;False;281;;;
13370;Acucar Uniao 1Kg Refinado;11,2678322;False;855;;;
5029;Acucar Uniao 500G Light/Fit;12,12792757;False;488;5029;;
5022;Acucar Uniao 5Kg Cristalcucar;14,15658109;False;431;;;
5030;Acucar Yoki Mais Vita 1Kg Mascavo;78,16772843;False;832;;;
12732;Adaptador 2P Use Util Modelo Novo;19,62321477;False;561;;;
13020;Adaptador Ch P/2P;4,025528279;False;770;7,89677E+12;;
12733;Adaptador Lr 3/4 Use Util;69,34366619;False;997;7,89677E+12;;
12734;Adaptador Universal Use Util;19,17448766;False;309;;;
15224;Adesivo Instantâneo Universal Original Loctite Super Bonder Blister 3g;13,36004093;False;666;7,8912E+12;;
12363;Adesivo Instantâneo Universal Power Flex Loctite Super Bonder Blister 2g;25,8310418;False;333;7,8912E+12;;
7126;Adocante Adocyl 100Ml;10,97318003;False;540;;;
7127;Adocante Assugrim 100Ml;34,1950147;False;163;;;
7130;Adocante Linea 25Ml Zero Stevia;3,975965492;False;873;;;
7131;Adocante Linea 30G Stevia C/50Un;14,60934919;False;244;;;
14284;Adocante Linea 75Ml Sucralose;23,96895302;False;254;7,896E+12;;
10637;Adoçante Líquido Stevia Linea Caixa 60ml;21,47110749;False;59;7,896E+12;;
13692;Adoçante Líquido Sucralose Adocyl Frasco 160ml;66,60460239;False;394;7,89609E+12;;
15327;Adoçante Líquido Sucralose Linea Caixa 25ml;25,4593826;False;996;7,896E+12;;
10587;Adoçante Líquido Sucralose Linea Caixa 75ml;48,77346639;False;802;7,896E+12;;
7132;Adocante Zero Cal 100Ml;44,23614561;False;139;;;
7135;Adocante Zero Cal 200Ml;17,27470434;False;928;;;
7136;Adocante Zero Cal 40G Em Po;6,549538415;False;452;;;
95;Agriao Un;1,847754962;False;942;7,89896E+12;;
15281;Agua Atibaia 500Ml;26,61102804;False;477;7,89823E+12;;
15333;Agua Bem Leve 1,5L Sem Gas;21,85541992;False;986;7,89864E+12;;
15335;Agua Bem Leve 510Ml Sem Gas;0,271534252;False;227;7,89891E+12;;
15334;Agua Bem Leve 5L;39,5965275;False;651;7,89864E+12;;
7552;Agua Bonafont 1,5L;8,454845949;False;323;7,89103E+12;;
7554;Agua Bonafont 500Ml;37,70078218;False;336;;;
13818;Agua Buona Vita 1,5L;12,35187724;False;534;7,89864E+12;;
13817;Agua Buona Vita 500Ml;4,634053882;False;966;7,89864E+12;;
12696;Água CRYSTAL Tangerina&Capim Limão 510ml;74,47729446;False;717;7,8949E+12;;
7924;Agua Coco Ducoco 1L Tp;43,90396713;False;480;7924;;
7558;Agua Cristal 1,5;1,190916908;False;235;;;
7545;Agua Cristal 1,5L Com Gas;80,07858956;False;426;;;
11562;Agua Cristal 300Ml Sem Gas;60,05612013;False;156;7,8949E+12;;
7546;Agua Cristal 500Ml Com Gas;14,71685506;False;969;;;
7559;Agua Cristal 500Ml Sem Gas;30,37991601;False;761;7559;;
7560;Agua Cristal 5L Sem Gas;40,7025512;False;223;;;
14979;Agua Crystal Saborizada Pet 510Ml Limao;28,11884175;False;598;7,8949E+12;;
7925;Agua De Coco Ducoco 200Ml;76,94459144;False;992;;;
7926;Agua De Coco Kero Coco 1L;23,09872986;False;897;;;
7928;Agua De Coco Mais Coco 1L;48,55285575;False;597;;;
10872;Agua De Colonia Bebe Vida 100Ml;23,17938649;False;959;;;
13676;Agua Gas Bonafont 500Ml Abacaxi C/ Hort;2,374465768;False;654;7,89103E+12;;
13678;Agua Gas Bonafont 500Ml Limao;17,37056267;False;751;7,89103E+12;;
14622;Agua Gas Viv 510Ml Framboesa;2,86075123;False;309;7,8981E+12;;
14624;Agua Gas Viv 510Ml Laranja;2,531110036;False;564;7,8981E+12;;
14625;Agua Gas Viv 510Ml Lima-Limao;3,473309856;False;989;7,8981E+12;;
14623;Agua Gas Viv 510Ml Maca Verde;47,38552601;False;711;7,8981E+12;;
7537;Agua Min Qualita 5Lt;5,267869199;False;836;;;
11897;Agua Mineral Acquissima Pera 310Ml;44,58955031;False;934;7,89893E+12;;
11903;Água Mineral Acquíssima Personnalité Garrafa 1,5L;34,86854049;False;305;7,89893E+12;;
11901;Água Mineral Acquíssima Sem Gás 500Ml;20,99236624;False;788;7,89893E+12;;
11900;Água Mineral Acquíssima  com Gás 500Ml;56,35845549;False;645;7,89865E+12;;
12399;Água Mineral BONAFONT Sport Garrafa 650ml;36,49279796;False;221;7,89103E+12;;
12402;Agua Mineral Bonafont 4,500Ml;2,467582706;False;510;7,89103E+12;;
14345;Agua Mineral Luxury 3L S/ Gas;16,85271846;False;355;7,90803E+12;;
15159;Agua Mineral Minalice 1500Ml;10,00972203;False;572;7,89633E+12;;
15157;Agua Mineral Minalice 500Ml;0,207534338;False;353;7,89633E+12;;
15158;Agua Mineral Minalice 5L;7,786855449;False;566;7,89633E+12;;
14508;Água Mineral Natural com Gás Bonafont Garrafa 500ml;73,14568099;False;697;7,89103E+12;;
14026;Água Mineral Natural com Gás Petra Garrafa 510ml;16,22095044;False;208;7,8974E+12;;
13206;Água Mineral Natural sem Gás Bioleve Galão 6l;44,77407195;False;350;7,89684E+12;;
15487;Água Mineral Natural sem Gás Frescca Galão 5l;8,159413834;False;557;7,89839E+12;;
15486;Água Mineral Natural sem Gás Frescca Garrafa 1,5l;42,42022414;False;161;7,89839E+12;;
15488;Água Mineral Natural sem Gás Frescca Garrafa 510ml;22,02330469;False;565;7,89839E+12;;
12980;Água Mineral Natural sem Gás Minalba Galão 5l;18,77400702;False;732;7,89607E+12;;
14022;Água Mineral Natural sem Gás Petra Garrafa 1,5l;45,61274818;False;161;7,8974E+12;;
14451;Água Mineral Natural sem Gás Petra Garrafa 510ml;33,39107144;False;974;7,8974E+12;;
7563;Agua Nestle 1,5L Pureza Vital Sem Gaz;38,32216775;False;734;;;
7564;Agua Nestle 510Ml Pureza Vital Sem Gaz;36,7801663;False;124;;;
9301;Agua Oxig Farmax 90Ml 30V;2,507443093;False;36;;;
9302;Agua Oxig Farmax 90Ml 30Vl;41,52285271;False;425;;;
9304;Agua Oxigenada FARMAX Cremosa 40 Volumes 90ml;45,17733167;False;460;7,8969E+12;;
9300;Agua Oxigenada Farmax 70Ml 20Vol;7,924003893;False;764;7,8969E+12;;
14023;Agua Petra 1,5L Com Gas;23,45438726;False;941;7,8974E+12;;
10088;Agua Qualita 1,5L C/ Gas;43,23435587;False;88;7,895E+12;;
10072;Agua Qualita 1,5L S/ Gas;0,042549622;False;48;7,895E+12;;
10074;Agua Qualita 510Ml S/ Gas;23,3523139;False;161;7,895E+12;;
15720;Água Saborizada com Gás Frutas Vermelhas Crystal Sabores Garrafa 510ml;2,779793871;False;797;7,8949E+12;;
11259;Água Saborizada com Gás Limão e Camomila Crystal Sparkling Lata 310ml;20,10656799;False;954;7,8949E+12;;
10403;Agua San Bufalo 1L;11,21951918;False;855;;;
10404;Agua San Bufalo 2L-7895;76,19370559;False;56;;;
10407;Agua San Candida 1L;10,72799284;False;7;;;
10408;Agua San Candida 2L;7,441110506;False;672;;;
10409;Agua San Candida 5L;12,15191133;False;154;;;
10411;Agua San Daclor 2L;58,00701313;False;88;;;
10412;Agua San Kileve 1L;86,00251578;False;925;10412;;
10413;Agua San Kileve 2L;1,683869438;False;542;;;
10414;Agua San Kileve 5L;55,10161202;False;813;;;
11932;Agua San Qualita 1L;50,78770873;False;570;7,895E+12;;
11935;Agua San Qualita 2L;3,099942818;False;805;7,895E+12;;
13373;Agua San Sanol 1L;32,0687093;False;549;;;
13374;Agua San Sanol 2L;25,2342658;False;846;;;
15206;Agua San Stilo 1L;47,78295003;False;519;7,89359E+12;;
15525;Agua San Stilo 2L;1,982603361;False;534;7,89359E+12;;
13218;Água Sanitária Candura Frasco 1l;1,044550987;False;866;7,89611E+12;;
13217;Água Sanitária Candura Frasco 2l;11,01540613;False;978;7,89611E+12;;
15047;Água Sanitaria DACLOR 1L;19,71400632;False;319;7,89622E+12;;
15128;Água Sanitária YPÊ 1L;11,21206833;False;187;7,8961E+12;;
7750;Agua Tonica Antartica 350Ml;15,10773764;False;79;;;
15426;Água Tônica FYs Lata 350ml;19,27231035;False;820;7,89605E+12;;
7752;Agua Tonica Schweppes 350Ml;0,141150812;False;394;;;
14375;Água Tônica Schweppes Club Soda Lata 350ml;1,017885286;False;229;7,8949E+12;;
12107;Água de Coco COCO ICE 900ml;38,9432583;False;89;7,89892E+12;;
11955;Água de Coco Esterilizada Kero Coco Caixa 330ml;3,942957402;False;419;7,89683E+12;;
7934;Água de Coco Esterilizada Kero Coco Kids Caixa 200ml;36,11298194;False;93;7,89432E+12;;
14222;Água de Coco Esterilizada Mais Coco Caixa 200ml;37,12174642;False;182;7,896E+12;;
14225;Água de Coco Esterilizada Sococo Caixa 200ml;25,85205102;False;593;7,896E+12;;
15002;Água de Coco Manga Del Valle Caixa 200ml;46,51591972;False;366;7,8949E+12;;
14223;Água de Coco Maracujá Sococo Mais Caixa 200ml;12,3896356;False;633;7,896E+12;;
11492;Água de Coco Pasteurizada Coco Like Garrafa 280ml;18,20945471;False;887;7,89897E+12;;
15444;Água de Coco Pasteurizada Coco Like Garrafa 900ml;7,702926036;False;345;7,89897E+12;;
14224;Água de Coco Tangerina Sococo Mais Caixa 200ml;18,76414715;False;795;7,896E+12;;
12106;Água de Coco Verde Coco Ice 290ml;16,8398154;False;371;7,89892E+12;;
7475;Aguard 51 Lata 350Ml;37,74996762;False;214;;;
7534;Aguard Corote 500Ml;0,709248538;False;555;;;
7477;Aguard Dobarril 500Ml;6,400094901;False;903;;;
7478;Aguard Pedra 90 500Ml Adocada;28,65692626;False;306;;;
13801;Aguard Pirassununga 21 900Ml;29,18538606;False;800;7,89627E+12;;
7480;Aguard Pirassununga 51 965Ml;82,91292258;False;509;;;
7481;Aguard Pitu 965Ml;8,737772484;False;417;7481;;
7482;Aguard Sao Francisco 970Ml;81,43797833;False;595;;;
7483;Aguard Velho Barreiro 600Ml;11,03133738;False;632;;;
7484;Aguard Velho Barreiro 910Ml;3,365609739;False;333;;;
7494;Aguard Velho Barreiro 910Ml Amarelo;3,704650447;False;366;;;
7486;Aguard Velho Barreiro 910Ml Limao;12,4373331;False;697;;;
7487;Aguard Villa Velha 600Ml C/Vasilhame;8,915903376;False;203;;;
7488;Aguard Villa Velha 965Ml;49,71980439;False;281;7,89627E+12;;
13219;Aguardente CANINHA DA ROÇA 600ml;32,55660058;False;473;7,89711E+12;;
13179;Aguardente Corote Cana Boa 470Ml;54,58007674;False;880;7,89891E+12;;
14403;Aguardente Corote Nacional Limão Garrafa 500ml;72,10994889;False;328;7,89627E+12;;
7490;Aguardente Pitu 350Ml;22,17809134;False;489;;;
15288;Aguardente de Cana Adoçada Pitú Garrafa 600ml;36,16423767;False;310;7,89661E+12;;
14272;Aguardente de Cana Adoçada Pitú Lata 473ml;22,28441502;False;994;7,89661E+12;;
7391;Aguardente de Cana Prata Ypióca Garrafa 965ml;37,05516506;False;167;7,89638E+12;;
11681;Aguardente de Cana Prata Ypióca Garrafa 965ml;57,13509529;False;232;7,89638E+12;;
13184;Aguarras Bufalo 500Ml;46,30743541;False;844;;;
12824;Agulha P/ Fogao 2Un;13,32132523;False;628;;;
12825;Agulheiro Cesta Use Util 19Un;26,21949611;False;577;;;
5468;Aji Sal 100G Frasco;15,06641177;False;67;;;
5469;Aji Sal 250 Sache;5,661269744;False;134;;;
5470;Aji Sal 500G Churrasco;18,14628221;False;197;5470;;
5471;Ajinomoto 100G Pote;1,662012052;False;929;;;
9;Alcatra Kg;10,61511483;False;254;;;
10;Alcatra Peca;48,93704907;False;817;;;
15215;Álcool 46º Zumbi 1l;0,817188476;False;445;7,89609E+12;;
10329;Alcool Acendedor Tupi 425G Gel;69,01412871;False;319;;;
10330;Alcool Acendedor Zulu 500G;52,37575413;False;457;;;
15244;Alcool Aerosol Super Dom 400Ml 70%;86,43067627;False;281;7,89967E+12;;
15474;Alcool Bacterecida 500Ml 46,2°;19,47947787;False;469;7,89865E+12;;
10334;Alcool Coperalcool 1L 46,2°;22,03539902;False;96;;;
10335;Alcool Coperalcool 1L Eucalipto 46°;3,971596132;False;810;;;
10336;Alcool Coperalcool 500Ml 46°;3,36906276;False;31;;;
10337;Alcool Coperalcool 500Ml Eucalipto;6,453451284;False;898;10337;;
15235;Alcool Em Gel New Beauty 500Ml 70*;47,64401342;False;219;7,89864E+12;;
15220;Álcool Farmax 100Ml 70°Inpm Gel;4,421445199;False;491;7,8969E+12;;
10778;Álcool Gel ASSEPTGEL 70% 420g;7,976502358;False;411;7,89753E+12;;
15253;Álcool Gel Safra 500ml 70Inpm Bactericida;51,00424832;False;374;7,89894E+12;;
15216;Alcool Liq Zulu 1L 70Inpm;3,290973337;False;94;7,89609E+12;;
11867;Alcool Qualita 1L 46°;7,612009318;False;286;7,895E+12;;
15217;Álcool TUPI Tradicional 46,2º Líquido 1L;87,17953463;False;149;7,89891E+12;;
10345;Alcool Tupi 500G Em Gel 46,2;15,38522939;False;836;;;
10346;Alcool Tupi 500Ml 46,2°;31,2832632;False;218;;;
15170;Álcool em Gel 70º INPM Clássico Coperalcool Bacfree Squeeze 500g;4,043569353;False;798;7,89609E+12;;
15210;Álcool em Gel 70º INPM Myhealth Squeeze 50g;1,116027319;False;268;7,89857E+12;;
10031;Alecrim;19,1544386;False;826;7,89896E+12;;
14395;Alecrim Semeador 20G;56,34380579;False;148;7,89894E+12;;
5311;Alecrin Cordeiro 10G;7,082175298;False;701;;;
65;Alface Americana Un;68,79878382;False;557;7,89896E+12;;
329;Alface Crespa Hidroponica Un;4,8736984;False;105;;;
63;Alface Crespa Un;31,26484762;False;935;7,89896E+12;;
64;Alface Lisa Un;12,61982197;False;970;7,89896E+12;;
12277;Alface Mimosa Un;2,279609184;False;420;7,89896E+12;;
12276;Alface Mix Un;64,96747663;False;137;7,89896E+12;;
208;Alface Roxa Un;31,33873851;False;752;208;;
12299;Alface Trio Un;24,60510466;False;516;7,89896E+12;;
9268;Algodao Apolo 25G Caixa;54,15220556;False;612;;;
9270;Algodao Apolo 50G Bolas Brancas;1,263768994;False;446;9270;;
9272;Algodao Apolo 50G Caixa;2,852491776;False;387;;;
13377;Algodao  Dr Fraldinha 50G Bola;10,39566204;False;898;;;
9279;Algodao York 25G;24,9771991;False;178;;;
10437;Algodão em Rolo York Caixa 25g;33,95549371;False;614;7,89624E+12;;
11;Alho Agranel;5,431266768;False;329;;;
14335;Alho Cebola E Salsa Semeador 30G;80,95911815;False;927;7,89894E+12;;
9043;Alho Cordeiro 100G;76,59233921;False;896;;;
9044;Alho Cordeiro 200G;29,28258914;False;299;;;
5443;Alho Frito Cordeiro 30G S/ Sal;54,94097083;False;712;;;
13378;Alho Kitano 30G Granulado;77,28996827;False;930;;;
362;Alho Pct 1Kg;21,03965582;False;376;7,89823E+12;;
10919;Alho Picado 200G Cheiro Ervas;27,32044559;False;135;7,89148E+12;;
10920;Alho Picado 400G Cheiro Ervas;34,34852049;False;793;7,89148E+12;;
5444;Alho Picado Cordeiro 200G S Sal;42,07062457;False;209;;;
5445;Alho Picado Cordeiro 400G S  Sal;45,1087445;False;63;;;
14214;Alho Picado Flavors Minas 1Kg S/ Sal;5,901368574;False;303;6,06529E+11;;
14211;Alho Picado Flavors Minas 500G S/ Sal;7,082078895;False;219;6,06529E+11;;
5446;Alho Picado Sabor Arte 200G S Sal;9,948023972;False;473;;;
5447;Alho Picado Sabor Arte 400G S Sal;2,571172227;False;259;;;
12275;Alho Poró;13,06336965;False;317;7,89896E+12;;
8269;Alicate Cuticula Mundial Ref 522 Aco;7,83631336;False;213;;;
12878;Alicate De Bico Chato Catuai;7,314289629;False;185;;;
12879;Alicate De Corte Catuai;31,72951888;False;487;;;
8273;Alicate Merheje Basic Rosa+Espatula;1,106814529;False;106;8273;;
12836;Alicate Universal Use Util;26,69729713;False;158;12836;;
7183;Alim Inf Nestle 115G Carne,Leg,Mand;1,487832132;False;156;;;
7184;Alim Inf Nestle 115G Leg,Carne;7,043599885;False;415;7184;;
7185;Alim Inf Nestle 115G Mac,Carne,Leg;6,418994135;False;813;;;
7186;Alim Inf Nestle 115G Peito De Frango, Le;37,13925788;False;865;;;
13379;Alim Inf Nestle 120G Ameixa;24,05132865;False;0;;;
7181;Alim Inf Nestle 120G Banana E Aveia;4,530862746;False;682;;;
7187;Alim Inf Nestle 120G Frutas;24,30976103;False;751;;;
13380;Alim Inf Nestle 170G Fgo Leg;2,667826439;False;353;;;
12897;Alim Passaro Forte 500G Alpiste;0,064966301;False;929;;;
12898;Alim Passaro Forte 500G Canario;28,61614302;False;706;12898;;
12899;Alim Passaro Forte 500G Girasol Graudo;13,57470643;False;491;;;
11668;Alim Passaro Forte 500G Girasol Miudo;46,88994491;False;644;7,89833E+12;;
12900;Alim Passaro Forte 500G Granulada Fina;39,57583385;False;906;;;
12907;Alim Passaro Forte 500G Oleosa C/Frutas;44,09905862;False;443;;;
12901;Alim Passaro Forte 500G Painco;5,591438872;False;131;;;
12903;Alim Passaro Forte 500G Periquitos;0,486927644;False;725;;;
12904;Alim Passaro Forte 500G Pixarro;74,08242403;False;137;7,89833E+12;;
12996;Alim Pedigree 100G Carne;78,02198902;False;874;;;
12997;Alim Pedigree 100G Frango;4,43398926;False;291;12997;;
12998;Alim Pedigree 100G Frango Ao Molho;66,84247091;False;187;;;
12999;Alim Pedigree 280G Patê Carne;1,102606021;False;194;;;
13001;Alim Pedigree 280G Patê Frango;1,589029516;False;109;;;
13002;Alim Pedigree 290G Carne Ao Molho;5,70394195;False;414;;;
15338;Alim Pedigree Filhote 100G Carne Molho;15,05739951;False;272;;;
13003;Alim Pedigree Filhote 100G Sc Fg Ao Molh;21,31170443;False;981;;;
15291;Alimento KELCAT Úmido Sachê de Frango 85g;0,025733598;False;926;7,89627E+12;;
15292;Alimento KELCAT Úmido Sachê de Peixe 85g;15,61177323;False;835;7,89627E+12;;
